,uniqueID,hospitalName,location,coordinates,Liver,Kidney,Pancreas,Heart,Corneas,Bone Marrow
0,3521,Apollo Hospital,"Plot No. 1, Swaminarayan Nagar, New Adgaon Naka, Panchavati, near Lunge Mangal Karyalay, Nashik, Maharashtra 422003","0,0",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
1,3522,Siddhi Vinayak Hospital,"Unity Campus, Gangapur Rd, opposite K.T.H.M. ?????, Police Staff Colony, Nashik, Maharashtra 422002","15,224",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2,3523,Apex Hospital,"423101, Sharanpur Rd, Opp. Telephone Exchange, Canada Corner, Nashik, Maharashtra 422005","5,67,345",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
3,3524,Six Sigma Hospital,"Satguru's, Mahatma Nagar Water Tank Rd, opp. Water Tank, Nashik, Maharashtra 422007","0,1",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
4,3525,Wockhard Hospital,"Wani House, Mumbai - Agra National Hwy, Wadala Naka, Nashik, Maharashtra 422001","11,19,466",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
5,3526,Fortune Hospital,"Mumbai Naka, Bhagwant Nagar, Dr.Homi Bhabha Nagar, Nashik, Maharashtra 422011","16,71,587",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
6,3527,Lilavti Hospital,"14-A, Kalananagar, Sneha Nagar, Nashik, Maharashtra 422004","0,2",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
7,3528,Ashoka Medicover Hospital,"Parab Nagar, Nashik, Maharashtra 422214","22,23,708",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
8,3529,Supreme Kidney Hospital,"Om Chambers,Opp.Holaram Colony,Near Mico Circle,, Sadhu Wasvani Rd, Holaram Colony, Sharanpur, Nashik, Maharashtra 422005","27,75,829",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
9,3530,Lotus Hospital,"2Q69+M2C, Vidya Vikas Circle, Gangapur Rd, Bhavik Nagar, Shreerang Nagar, Nashik, Maharashtra 422005","0,3",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
